,compartment,outflow_to,offense,age,compartment_duration,rate_by_age,rate_by_offense,total_population,time_step
51,prison,release,Drug offenses,66,7.7,,,,
52,prison,release,Drug offenses,67,7.7,,,,
53,prison,release,Drug offenses,68,7.7,,,,
54,prison,release,Drug offenses,69,7.7,,,,
55,prison,release,Drug offenses,70,7.7,,,,
56,prison,release,Drug offenses,71,7.7,,,,
57,prison,release,Drug offenses,72,7.7,,,,
58,prison,release,Drug offenses,73,7.7,,,,
59,prison,release,Drug offenses,74,7.7,,,,
60,prison,release,Drug offenses,75,7.7,,,,
61,prison,release,Drug offenses,76,7.7,,,,
62,prison,release,Drug offenses,77,7.7,,,,
63,prison,release,Drug offenses,78,7.7,,,,
64,prison,release,Drug offenses,79,7.7,,,,
65,prison,release,Drug offenses,80,7.7,,,,
66,prison,release,Drug offenses,81,7.7,,,,
67,prison,release,Drug offenses,82,7.7,,,,
68,prison,release,Drug offenses,83,7.7,,,,
69,prison,release,Drug offenses,84,7.7,,,,
70,prison,release,Drug offenses,85,7.7,,,,
71,prison,release,Drug offenses,86,7.7,,,,
72,prison,release,Drug offenses,87,7.7,,,,
73,prison,release,Drug offenses,88,7.7,,,,
74,prison,release,Drug offenses,89,7.7,,,,
75,prison,release,Drug offenses,90,7.7,,,,
76,prison,release,Drug offenses,91,7.7,,,,
