,compartment,year,policy_total_population,control_total_population
237,release,2019.749999965,2387269.5749063245,2387269.5749063245
238,release,2019.833333298,2387473.47492122,2387473.47492122
239,release,2019.916666631,2387677.2348899012,2387677.2348899012
240,release,2019.999999964,2387880.856912973,2387880.856912973
241,release,2020.083333297,2388084.3399309306,2388084.3399309306
242,release,2020.16666663,2388287.684352496,2388287.684352496
243,release,2020.249999963,2388490.9697085326,2388490.9697085326
244,release,2020.333333296,2388694.120413802,2388694.120413802
245,release,2020.416666629,2388897.1367794257,2388897.1367794257
246,release,2020.499999962,2389097.188382109,2389097.188382109
247,release,2020.583333295,2389297.123745822,2389297.123745822
248,release,2020.666666628,2389496.9431272997,2389496.9431272997
249,release,2020.749999961,2389969.4937835657,2389969.4937835657
250,release,2020.833333294,2390441.870445325,2390441.870445325
251,release,2020.916666627,2390914.073202794,2390914.073202794
252,release,2020.99999996,2391386.104669319,2391386.104669319
253,release,2021.083333293,2391857.9625731544,2391857.9625731544
254,release,2021.166666626,2392329.6470020344,2392329.6470020344
255,release,2021.249999959,2392801.477914424,2392801.477914424
256,release,2021.333333292,2393273.145395732,2393273.145395732
257,release,2021.416666625,2393744.6495079375,2393744.6495079375
258,release,2021.499999958,2394209.7368090954,2394209.7368090954
259,release,2021.583333291,2394674.673737009,2394674.673737009
260,release,2021.666666624,2395139.4604665367,2395139.4604665367
261,release,2021.749999957,2395744.4392640586,2395744.4392640586
262,release,2021.83333329,2396349.2256459794,2396349.2256459794
263,release,2021.916666623,2396953.8196639055,2396953.8196639055
264,release,2021.999999956,2397558.224443789,2397558.224443789
265,release,2022.083333289,2398162.4374396526,2398162.4374396526
266,release,2022.166666622,2398766.458767328,2398766.458767328
267,release,2022.249999955,2399370.5919287615,2399370.5919287615
268,release,2022.333333288,2399974.548404003,2399974.548404003
269,release,2022.416666621,2400578.328289374,2400578.328289374
270,release,2022.499999954,2401140.318643748,2401140.318643748
271,release,2022.583333287,2401702.150100569,2401702.150100569
272,release,2022.66666662,2402263.8229667186,2402263.8229667186
273,release,2022.749999953,2402857.4424539795,2402857.4424539795
274,release,2022.833333286,2403450.4603984924,2403450.4603984924
275,release,2022.916666619,2404042.872633558,2404042.872633558
276,release,2022.999999952,2404634.6863839026,2404634.6863839026
277,release,2023.083333285,2405228.282615737,2405225.887753322
278,release,2023.166666618,2405824.008986478,2405816.473421978
279,release,2023.249999951,2406419.0779321385,2406406.4120298163
280,release,2023.333333284,2407013.5366189564,2406995.7432855354
281,release,2023.416666617,2407612.773476894,2407584.4643719303
282,release,2023.49999995,2408357.487211869,2408142.9932874404
283,release,2023.583333283,2409321.3625510056,2408700.923636432
284,release,2023.666666616,2410290.044391097,2409258.2532484634
285,release,2023.749999949,2410826.3244226463,2409795.8971396824
286,release,2023.833333282,2411361.572049308,2410332.5364170764
287,release,2023.916666615,2411895.748833728,2410868.1686045513
288,release,2023.999999948,2412428.708592341,2411402.831713113
289,release,2024.083333281,2412967.611448149,2411936.4847697355
290,release,2024.166666614,2413514.9394391,2412469.1258842507
291,release,2024.249999947,2414068.536142732,2413000.1367799686
292,release,2024.33333328,2414634.1445570425,2413530.1432563984
293,release,2024.416666613,2415209.5833018515,2414059.1437453036
294,release,2024.499999946,2415898.5784116862,2414590.4153034845
295,release,2024.583333279,2416671.2869053683,2415120.6755308043
296,release,2024.666666612,2417443.8311705748,2415649.9239612073
297,release,2024.749999945,2417959.6010512803,2416168.348820565
298,release,2024.833333278,2418474.0630838363,2416685.571081147
299,release,2024.916666611,2418987.112331413,2417201.590488455
300,release,2024.999999944,2419497.544805957,2417716.469527388
301,release,2025.083333277,2420014.3383088424,2418230.147743066
302,release,2025.16666661,2420544.6348960632,2418742.6250845045
303,release,2025.249999943,2421087.0957250968,2419250.004537015
304,release,2025.333333276,2421644.445003315,2419756.190812747
305,release,2025.416666609,2422206.586111487,2420261.183941571
306,release,2025.499999942,2422799.9756593737,2420782.690838112
307,release,2025.583333275,2423405.401813058,2421302.9867381454
308,release,2025.666666608,2424009.2981775473,2421822.0712955673
309,release,2025.749999941,2424522.3721961817,2422338.578671282
310,release,2025.833333274,2425034.230340812,2422853.900083349
311,release,2025.916666607,2425544.8975273245,2423368.0336809927
312,release,2025.99999994,2426059.283073523,2423881.023653991
313,release,2026.083333273,2426586.4934865595,2424392.825365003
314,release,2026.166666606,2427139.1354128188,2424903.4371081563
315,release,2026.249999939,2427695.460779009,2425407.031241656
316,release,2026.333333272,2428244.928324829,2425909.437683557
317,release,2026.416666605,2428794.784508813,2426410.6549232965
318,release,2026.499999938,2429338.3125932417,2426929.88519125
319,release,2026.583333271,2429874.2568083857,2427447.888065744
320,release,2026.666666604,2430408.534254913,2427964.660793365
321,release,2026.749999937,2430921.091361986,2428480.8193689953
322,release,2026.83333327,2431433.130542127,2428995.6941250097
323,release,2026.916666603,2431946.0160900187,2429509.2832813794
